controller,action_mode,mode,case_id,control_step,physics_step,contact_time_s,link_a,link_b,contact_force_N,contact_points,self_collision,primary_fall_at_sample,primary_fall_same_control_step,episode_primary_fall,causes_primary_fall,classification,evidence,root_height_m,root_orientation_quat,root_tilt_rad,root_state,joint_position,joint_velocity
model_200,raw_clip,matrix,0,2,6,0.03,left_ankle_roll_link,unresolved_sensor_net,192.86529541015625,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8145636916160583,"[0.9080771207809448, 0.006089134607464075, -0.0012695774203166366, -0.4187568724155426]",0.012439278640130927,"[3.278531551361084, -0.8057336807250977, 0.8145636916160583, 0.9080771207809448, 0.006089134607464075, -0.0012695774203166366, -0.4187568724155426, 0.3137925863265991, 0.06296897679567337, -0.2806771695613861, 0.2157200127840042, -0.24333365261554718, 0.7214722633361816]","[0.22931967675685883, 0.19895105063915253, 0.00451812194660306, 0.18960702419281006, -0.23172160983085632, -0.009538070298731327, -0.016075266525149345, 0.014482097700238228, -0.009846687316894531, 0.5590018630027771, 0.6483872532844543, -0.374132364988327, -0.3118053376674652, -0.005700116977095604, -0.0045046089217066765, 0.006268640048801899, 0.006884655449539423, 0.006963030435144901, 0.0022760448046028614, -0.0006752136396244168, -0.01170297060161829, -0.0037508567329496145, 0.0019237544620409608, 0.581126868724823, 0.6673509478569031, -0.37888357043266296, -0.41404685378074646, -0.004320848733186722, -0.011320852674543858]","[0.2951177954673767, 2.3529179096221924, 1.290352702140808, -0.18427719175815582, 0.6143412590026855, -0.1894650012254715, -0.3664405047893524, 0.3770250976085663, 0.07220392674207687, -0.5386298298835754, -2.6425437927246094, -2.022867202758789, -0.2774960398674011, 0.24636195600032806, -0.2195890247821808, 0.033178068697452545, 0.10385698080062866, 0.5063045620918274, 0.26901987195014954, 0.9219979047775269, -0.5905517339706421, -0.08861240744590759, 0.21208371222019196, 0.7670432329177856, -2.374798059463501, 3.9355084896087646, -1.784863829612732, -1.3987541198730469, 0.772853434085846]"
model_200,raw_clip,matrix,2,2,6,0.03,right_ankle_roll_link,unresolved_sensor_net,119.19442749023438,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8170754909515381,"[0.9053620100021362, 0.003995053004473448, -0.0021985822822898626, -0.4246160387992859]",0.00912187815519835,"[1.5304642915725708, -1.484174370765686, 0.8170754909515381, 0.9053620100021362, 0.003995053004473448, -0.0021985822822898626, -0.4246160387992859, 0.14934736490249634, -0.11987090855836868, -0.18326936662197113, 0.25429314374923706, -0.2684708833694458, 0.4758806526660919]","[0.19327412545681, 0.2316947728395462, 0.00684322090819478, 0.17641226947307587, -0.20161733031272888, -0.006034564692527056, -0.02029147371649742, 0.016578003764152527, -0.002546807983890176, 0.6634451150894165, 0.5980803966522217, -0.35937315225601196, -0.2993825376033783, -0.016894597560167313, -0.005602344870567322, 0.0035968085285276175, 0.008215321227908134, 0.01085434015840292, 0.0008567216573283076, -0.005621124524623156, 0.009722629562020302, -0.002603553468361497, 0.0019523556111380458, 0.7232869863510132, 0.5640547871589661, -0.29514309763908386, -0.3902624249458313, -0.005609831307083368, -0.01628020592033863]","[0.758712887763977, 1.4078361988067627, 0.3357735276222229, -0.24032780528068542, 0.1928575485944748, -0.6264662146568298, -0.7080188989639282, 1.1050677299499512, -0.13665451109409332, -1.674501657485962, -1.4095371961593628, 0.1620771586894989, -0.699367105960846, 0.09693817049264908, 0.7554008364677429, 0.12213683873414993, 0.39317721128463745, 0.4596898555755615, 0.19781725108623505, -0.8585273027420044, 0.3042045533657074, -0.3031059801578522, 0.06970822066068649, -2.5567479133605957, 1.102178931236267, 0.5780526995658875, 0.3769487738609314, 0.47114741802215576, -0.6281242370605469]"
model_200,raw_clip,matrix,0,2,7,0.035,left_ankle_roll_link,/World/ground/terrain/GroundPlane/CollisionPlane,157.5787811279297,"[[3.4685041904449463, -0.798031747341156, 0.017132436856627464], [3.4027745723724365, -0.7321418523788452, 0.0037018158473074436], [3.3915762901306152, -0.7312424778938293, 0.00035897979978471994], [3.382652759552002, -0.736163854598999, -7.765703230688814e-06], [3.3762643337249756, -0.7441080212593079, 0.0002798192435875535], [3.3752121925354004, -0.7552998065948486, 0.003558878321200609], [3.428691864013672, -0.8314821720123291, 0.01692591980099678]]",False,False,False,True,not_established,robot_ground_contact,PhysX filtered contact matrix (normal force),0.8129925727844238,"[0.908881664276123, 0.006863163318485022, -0.0012685380643233657, -0.4169955551624298]",0.013961029841388535,"[3.280236005783081, -0.8052283525466919, 0.8129925727844238, 0.908881664276123, 0.006863163318485022, -0.0012685380643233657, -0.4169955551624298, 0.3284686207771301, 0.04263509064912796, -0.3128697872161865, 0.3281939923763275, -0.06893561780452728, 0.8106619119644165]","[0.2308235764503479, 0.21094723045825958, 0.010882075875997543, 0.18864060938358307, -0.22812676429748535, -0.009663722477853298, -0.017557527869939804, 0.015987088903784752, -0.008822179399430752, 0.5554890036582947, 0.6347460746765137, -0.3865055739879608, -0.3135446012020111, -0.0043496787548065186, -0.005569033790379763, 0.005279446952044964, 0.006911745294928551, 0.009342094883322716, 0.003459983505308628, 0.004620860796421766, -0.014233339577913284, -0.004104193300008774, 0.002927158959209919, 0.5850276947021484, 0.6544758677482605, -0.3579697906970978, -0.42355218529701233, -0.010705494321882725, -0.007179586216807365]","[0.32848456501960754, 2.457902669906616, 1.234842300415039, -0.23026159405708313, 0.7373172640800476, -0.00827106460928917, -0.24744920432567596, 0.27202317118644714, 0.21055856347084045, -0.8503945469856262, -2.8503828048706055, -2.5858511924743652, -0.37842777371406555, 0.28036820888519287, -0.20240628719329834, -0.2925528287887573, 0.04540915787220001, 0.4496743977069855, 0.21745087206363678, 0.9626829624176025, -0.4347706139087677, -0.05633631348609924, 0.19434571266174316, 0.9046257734298706, -2.6962761878967285, 3.924014091491699, -1.957511305809021, -1.0333399772644043, 0.8458337783813477]"
model_200,raw_clip,matrix,2,2,7,0.035,right_ankle_roll_link,/World/ground/terrain/GroundPlane/CollisionPlane,130.14337158203125,"[[1.5102531909942627, -1.5975712537765503, 0.012131880037486553], [1.443813681602478, -1.531524419784546, 0.003013931680470705], [1.4325693845748901, -1.5306276082992554, 0.00014219027070794255], [1.4236483573913574, -1.535566806793213, 5.521476396097569e-06], [1.4172943830490112, -1.5435364246368408, 0.00034535827580839396], [1.4163188934326172, -1.554760456085205, 0.0033798529766499996], [1.4705387353897095, -1.6311343908309937, 0.012660601176321507], [1.542343258857727, -1.6354490518569946, 0.01808849722146988], [1.502629041671753, -1.669012188911438, 0.018617387861013412]]",False,False,False,True,not_established,robot_ground_contact,PhysX filtered contact matrix (normal force),0.8159857392311096,"[0.9059505462646484, 0.004930483177304268, -0.0024956604465842247, -0.42334744334220886]",0.011053993215112705,"[1.531490445137024, -1.4845049381256104, 0.8159857392311096, 0.9059505462646484, 0.004930483177304268, -0.0024956604465842247, -0.42334744334220886, 0.16215217113494873, -0.11973747611045837, -0.21294277906417847, 0.29458901286125183, -0.25996845960617065, 0.6237568259239197]","[0.19703438878059387, 0.23921902477741241, 0.008429384790360928, 0.1747133880853653, -0.2006433755159378, -0.009863576851785183, -0.023700818419456482, 0.022372426465153694, -0.003535090945661068, 0.6548478603363037, 0.5908130407333374, -0.35863733291625977, -0.3032958209514618, -0.016158074140548706, -0.0016014755237847567, 0.004525550175458193, 0.010339153930544853, 0.01296545285731554, 0.001775178941898048, -0.010532245971262455, 0.010261679999530315, -0.0041428194381296635, 0.002356595592573285, 0.7103704214096069, 0.5699751973152161, -0.2920088469982147, -0.386771559715271, -0.0030779612716287374, -0.018973879516124725]","[0.7619245052337646, 1.5912225246429443, 0.30421197414398193, -0.39097991585731506, 0.21576730906963348, -0.7982422709465027, -0.6703072786331177, 1.2013640403747559, -0.2211732268333435, -1.7824974060058594, -1.4982761144638062, 0.13947446644306183, -0.7454808354377747, 0.17158496379852295, 0.8161949515342712, 0.17682689428329468, 0.39142128825187683, 0.3951701521873474, 0.17091485857963562, -1.0424515008926392, -0.006833203602582216, -0.30840030312538147, 0.09087640047073364, -2.593099355697632, 1.1743992567062378, 0.640998899936676, 0.46464359760284424, 0.5205128788948059, -0.4852941036224365]"
model_200,raw_clip,matrix,7,2,7,0.035,right_ankle_roll_link,/World/ground/terrain/GroundPlane/CollisionPlane,64.8302230834961,"[[-3.613388776779175, 1.4497827291488647, 0.01823989488184452], [-3.663022518157959, 1.3974568843841553, 0.006399466190487146], [-3.673558473587036, 1.3967905044555664, 0.003158918349072337], [-3.6827309131622314, 1.4012408256530762, 0.0028965321835130453], [-3.689532995223999, 1.4088220596313477, 0.0033978286664932966], [-3.6917760372161865, 1.4191136360168457, 0.006829865742474794], [-3.6549224853515625, 1.481064796447754, 0.01886081136763096], [-3.643007516860962, 1.4106467962265015, 0.008694433607161045], [-3.6845412254333496, 1.4419288635253906, 0.009315350092947483]]",False,False,False,True,not_established,robot_ground_contact,PhysX filtered contact matrix (normal force),0.81207674741745,"[0.443346232175827, -0.006544564384967089, -0.009205535054206848, -0.8962792754173279]",0.022591075085650534,"[-3.538499593734741, 1.411089539527893, 0.81207674741745, 0.443346232175827, -0.006544564384967089, -0.009205535054206848, -0.8962792754173279, -0.0033183672931045294, 0.47022488713264465, -0.367606520652771, -0.8187768459320068, 0.12989015877246857, -0.33617839217185974]","[0.19071196019649506, 0.20811718702316284, 0.0032716086134314537, 0.22921673953533173, -0.20229434967041016, -0.016152670606970787, -0.03465510904788971, 0.024017715826630592, 0.007993750274181366, 0.6688144207000732, 0.6819639205932617, -0.25937288999557495, -0.2911647856235504, -0.017832325771450996, -0.027818577364087105, 0.029678229242563248, 0.01747642643749714, 0.012637757696211338, -0.00202326406724751, 0.02680208534002304, -0.015943674370646477, 0.0006429128698073328, 0.002779655624181032, 0.6075159311294556, 0.7757558822631836, -0.39623597264289856, -0.2705434262752533, -0.04877903684973717, -0.03296450898051262]","[1.6368379592895508, 0.8053572177886963, 0.7171797752380371, 0.04140475019812584, 1.371011734008789, -0.8028525114059448, -0.7862038016319275, -0.3229671120643616, 0.8054560422897339, -1.6856640577316284, -0.5198441743850708, -0.5118971467018127, 0.08407337963581085, -0.6802662014961243, -1.3657550811767578, 0.9672789573669434, 0.6037137508392334, 0.39140966534614563, 0.2531423270702362, 0.5618688464164734, -0.8180695176124573, -0.015735963359475136, 0.26054760813713074, 0.8152176737785339, -0.7891464233398438, 0.6320935487747192, -2.560969352722168, -1.5135669708251953, -1.6372599601745605]"
model_200,raw_clip,matrix,0,2,7,0.035,left_ankle_roll_link,unresolved_sensor_net,157.5787811279297,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8129925727844238,"[0.908881664276123, 0.006863163318485022, -0.0012685380643233657, -0.4169955551624298]",0.013961029841388535,"[3.280236005783081, -0.8052283525466919, 0.8129925727844238, 0.908881664276123, 0.006863163318485022, -0.0012685380643233657, -0.4169955551624298, 0.3284686207771301, 0.04263509064912796, -0.3128697872161865, 0.3281939923763275, -0.06893561780452728, 0.8106619119644165]","[0.2308235764503479, 0.21094723045825958, 0.010882075875997543, 0.18864060938358307, -0.22812676429748535, -0.009663722477853298, -0.017557527869939804, 0.015987088903784752, -0.008822179399430752, 0.5554890036582947, 0.6347460746765137, -0.3865055739879608, -0.3135446012020111, -0.0043496787548065186, -0.005569033790379763, 0.005279446952044964, 0.006911745294928551, 0.009342094883322716, 0.003459983505308628, 0.004620860796421766, -0.014233339577913284, -0.004104193300008774, 0.002927158959209919, 0.5850276947021484, 0.6544758677482605, -0.3579697906970978, -0.42355218529701233, -0.010705494321882725, -0.007179586216807365]","[0.32848456501960754, 2.457902669906616, 1.234842300415039, -0.23026159405708313, 0.7373172640800476, -0.00827106460928917, -0.24744920432567596, 0.27202317118644714, 0.21055856347084045, -0.8503945469856262, -2.8503828048706055, -2.5858511924743652, -0.37842777371406555, 0.28036820888519287, -0.20240628719329834, -0.2925528287887573, 0.04540915787220001, 0.4496743977069855, 0.21745087206363678, 0.9626829624176025, -0.4347706139087677, -0.05633631348609924, 0.19434571266174316, 0.9046257734298706, -2.6962761878967285, 3.924014091491699, -1.957511305809021, -1.0333399772644043, 0.8458337783813477]"
model_200,raw_clip,matrix,2,2,7,0.035,right_ankle_roll_link,unresolved_sensor_net,130.14337158203125,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8159857392311096,"[0.9059505462646484, 0.004930483177304268, -0.0024956604465842247, -0.42334744334220886]",0.011053993215112705,"[1.531490445137024, -1.4845049381256104, 0.8159857392311096, 0.9059505462646484, 0.004930483177304268, -0.0024956604465842247, -0.42334744334220886, 0.16215217113494873, -0.11973747611045837, -0.21294277906417847, 0.29458901286125183, -0.25996845960617065, 0.6237568259239197]","[0.19703438878059387, 0.23921902477741241, 0.008429384790360928, 0.1747133880853653, -0.2006433755159378, -0.009863576851785183, -0.023700818419456482, 0.022372426465153694, -0.003535090945661068, 0.6548478603363037, 0.5908130407333374, -0.35863733291625977, -0.3032958209514618, -0.016158074140548706, -0.0016014755237847567, 0.004525550175458193, 0.010339153930544853, 0.01296545285731554, 0.001775178941898048, -0.010532245971262455, 0.010261679999530315, -0.0041428194381296635, 0.002356595592573285, 0.7103704214096069, 0.5699751973152161, -0.2920088469982147, -0.386771559715271, -0.0030779612716287374, -0.018973879516124725]","[0.7619245052337646, 1.5912225246429443, 0.30421197414398193, -0.39097991585731506, 0.21576730906963348, -0.7982422709465027, -0.6703072786331177, 1.2013640403747559, -0.2211732268333435, -1.7824974060058594, -1.4982761144638062, 0.13947446644306183, -0.7454808354377747, 0.17158496379852295, 0.8161949515342712, 0.17682689428329468, 0.39142128825187683, 0.3951701521873474, 0.17091485857963562, -1.0424515008926392, -0.006833203602582216, -0.30840030312538147, 0.09087640047073364, -2.593099355697632, 1.1743992567062378, 0.640998899936676, 0.46464359760284424, 0.5205128788948059, -0.4852941036224365]"
model_200,raw_clip,matrix,7,2,7,0.035,right_ankle_roll_link,unresolved_sensor_net,64.8302230834961,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.81207674741745,"[0.443346232175827, -0.006544564384967089, -0.009205535054206848, -0.8962792754173279]",0.022591075085650534,"[-3.538499593734741, 1.411089539527893, 0.81207674741745, 0.443346232175827, -0.006544564384967089, -0.009205535054206848, -0.8962792754173279, -0.0033183672931045294, 0.47022488713264465, -0.367606520652771, -0.8187768459320068, 0.12989015877246857, -0.33617839217185974]","[0.19071196019649506, 0.20811718702316284, 0.0032716086134314537, 0.22921673953533173, -0.20229434967041016, -0.016152670606970787, -0.03465510904788971, 0.024017715826630592, 0.007993750274181366, 0.6688144207000732, 0.6819639205932617, -0.25937288999557495, -0.2911647856235504, -0.017832325771450996, -0.027818577364087105, 0.029678229242563248, 0.01747642643749714, 0.012637757696211338, -0.00202326406724751, 0.02680208534002304, -0.015943674370646477, 0.0006429128698073328, 0.002779655624181032, 0.6075159311294556, 0.7757558822631836, -0.39623597264289856, -0.2705434262752533, -0.04877903684973717, -0.03296450898051262]","[1.6368379592895508, 0.8053572177886963, 0.7171797752380371, 0.04140475019812584, 1.371011734008789, -0.8028525114059448, -0.7862038016319275, -0.3229671120643616, 0.8054560422897339, -1.6856640577316284, -0.5198441743850708, -0.5118971467018127, 0.08407337963581085, -0.6802662014961243, -1.3657550811767578, 0.9672789573669434, 0.6037137508392334, 0.39140966534614563, 0.2531423270702362, 0.5618688464164734, -0.8180695176124573, -0.015735963359475136, 0.26054760813713074, 0.8152176737785339, -0.7891464233398438, 0.6320935487747192, -2.560969352722168, -1.5135669708251953, -1.6372599601745605]"
model_200,raw_clip,matrix,0,2,8,0.04,left_ankle_roll_link,/World/ground/terrain/GroundPlane/CollisionPlane,84.2554931640625,"[[3.4695441722869873, -0.7975636720657349, 0.01492323074489832], [3.403000831604004, -0.7320799827575684, 0.0033638528548181057], [3.3917720317840576, -0.7312607169151306, 0.00024416076485067606], [3.3828818798065186, -0.7362518906593323, 2.171508867832017e-06], [3.3765649795532227, -0.7442507147789001, 0.0003390373894944787], [3.3756279945373535, -0.7554619908332825, 0.0035341992042958736], [3.4300060272216797, -0.8313377499580383, 0.015169384889304638]]",False,False,False,True,not_established,robot_ground_contact,PhysX filtered contact matrix (normal force),0.8112227916717529,"[0.9097519516944885, 0.007754847407341003, -0.0007923954981379211, -0.41507917642593384]",0.015590787826390421,"[3.2818806171417236, -0.8046929836273193, 0.8112227916717529, 0.9097519516944885, 0.007754847407341003, -0.0007923954981379211, -0.41507917642593384, 0.3432554006576538, 0.0273321270942688, -0.35367637872695923, 0.4544317126274109, 0.08666309714317322, 0.8669113516807556]","[0.23252493143081665, 0.22328776121139526, 0.016572467982769012, 0.18736763298511505, -0.22420275211334229, -0.009361203759908676, -0.018544577062129974, 0.01722271926701069, -0.00785192009061575, 0.5505426526069641, 0.6202788949012756, -0.39995086193084717, -0.3156055212020874, -0.002957897959277034, -0.006534727755934, 0.0030776080675423145, 0.007212825119495392, 0.01133596058934927, 0.004319672007113695, 0.008779749274253845, -0.015829406678676605, -0.004313809331506491, 0.0038469741120934486, 0.5903410315513611, 0.6405609846115112, -0.3380987048149109, -0.433371901512146, -0.014804728329181671, -0.0030106613412499428]","[0.3501632809638977, 2.481304883956909, 1.0569274425506592, -0.28200921416282654, 0.797806441783905, 0.08347025513648987, -0.1585838794708252, 0.23540529608726501, 0.16405561566352844, -1.0933291912078857, -2.9457907676696777, -2.698211908340454, -0.43434393405914307, 0.27446508407592773, -0.1837141364812851, -0.49870631098747253, 0.09839516133069992, 0.35862264037132263, 0.13948728144168854, 0.7715775370597839, -0.2524288296699524, -0.030640859156847, 0.17681404948234558, 1.1129412651062012, -2.8249573707580566, 3.6751551628112793, -1.9612337350845337, -0.7094243168830872, 0.8185558319091797]"
model_200,raw_clip,matrix,2,2,8,0.04,right_ankle_roll_link,/World/ground/terrain/GroundPlane/CollisionPlane,127.73957061767578,"[[1.5105960369110107, -1.5973833799362183, 0.011295578442513943], [1.4438815116882324, -1.531498908996582, 0.002884398680180311], [1.5500013828277588, -1.668230414390564, 0.02045554295182228], [1.4237217903137207, -1.5355989933013916, 2.052299578281236e-06], [1.4173946380615234, -1.5435891151428223, 0.000356996082700789], [1.4164602756500244, -1.5548197031021118, 0.0033569871447980404], [1.4709877967834473, -1.6310688257217407, 0.011978334747254848], [1.5428414344787598, -1.63518488407135, 0.016888948157429695], [1.4326286315917969, -1.5306330919265747, 9.440690337214619e-05], [1.5032331943511963, -1.6688703298568726, 0.0175717044621706]]",False,False,False,True,not_established,robot_ground_contact,PhysX filtered contact matrix (normal force),0.8147485852241516,"[0.9066798090934753, 0.005940423347055912, -0.0027221953496336937, -0.4217687249183655]",0.013070169998938305,"[1.532562255859375, -1.4847962856292725, 0.8147485852241516, 0.9066798090934753, 0.005940423347055912, -0.0027221953496336937, -0.4217687249183655, 0.173410102725029, -0.11872746795415878, -0.24295726418495178, 0.33008965849876404, -0.24393537640571594, 0.7515025734901428]","[0.20077264308929443, 0.2474789023399353, 0.009792735800147057, 0.1723252683877945, -0.19945989549160004, -0.014477511867880821, -0.026963261887431145, 0.02849191054701805, -0.004896209109574556, 0.6458881497383118, 0.583387553691864, -0.35799357295036316, -0.30731403827667236, -0.015242167748510838, 0.0024267160333693027, 0.005752841476351023, 0.01247695554047823, 0.01471326407045126, 0.002509109443053603, -0.016177566722035408, 0.009431228041648865, -0.005651790648698807, 0.00286329654045403, 0.697502851486206, 0.5762128233909607, -0.28881797194480896, -0.38284415006637573, -0.0004815109132323414, -0.021120190620422363]","[0.7530866861343384, 1.7156351804733276, 0.2506503164768219, -0.5183376669883728, 0.2708010673522949, -0.9388406276702881, -0.644599974155426, 1.2467739582061768, -0.28560662269592285, -1.8342643976211548, -1.4945118427276611, 0.12426487356424332, -0.7422009110450745, 0.18621069192886353, 0.7921102643013, 0.23358678817749023, 0.3948153853416443, 0.3207096457481384, 0.1312752068042755, -1.1621754169464111, -0.25031521916389465, -0.29585638642311096, 0.11011882871389389, -2.553405523300171, 1.2350431680679321, 0.6239562034606934, 0.529775083065033, 0.5137759447097778, -0.39226335287094116]"
model_200,raw_clip,matrix,7,2,8,0.04,left_ankle_roll_link,/World/ground/terrain/GroundPlane/CollisionPlane,201.76312255859375,"[[-3.450317144393921, 1.2795054912567139, 0.007100144866853952], [-3.498467206954956, 1.2242884635925293, 0.014166109263896942], [-3.509006977081299, 1.2231361865997314, 0.012935326434671879], [-3.518334150314331, 1.2272250652313232, 0.013457993976771832], [-3.525383234024048, 1.234590768814087, 0.013719848357141018], [-3.527944326400757, 1.2449066638946533, 0.015577809885144234], [-3.4928956031799316, 1.3092873096466064, 0.009139501489698887], [-3.4788103103637695, 1.2385473251342773, 0.010354527272284031], [-3.403301477432251, 1.361088514328003, 0.003294756170362234], [-3.4052927494049072, 1.3722236156463623, 0.0010876493761315942], [-3.4123411178588867, 1.379589319229126, 0.0013497002655640244], [-3.4216690063476562, 1.3836781978607178, 0.001872169435955584], [-3.4327785968780518, 1.381706714630127, 0.004706455860286951], [-3.521388530731201, 1.26832914352417, 0.012393883429467678]]",False,False,False,True,not_established,robot_ground_contact,PhysX filtered contact matrix (normal force),0.8100744485855103,"[0.44248640537261963, -0.007691412698477507, -0.010853142477571964, -0.8966764807701111]",0.026604272175404498,"[-3.5386440753936768, 1.4127070903778076, 0.8100744485855103, 0.44248640537261963, -0.007691412698477507, -0.010853142477571964, -0.8966764807701111, -0.011514635756611824, 0.47323012351989746, -0.3836486339569092, -0.7515296339988708, 0.1152048408985138, -0.41484105587005615]","[0.19920216500759125, 0.21217748522758484, 0.006773279048502445, 0.22928974032402039, -0.1948135942220688, -0.019956232979893684, -0.03822898119688034, 0.021850107237696648, 0.012351292185485363, 0.6604471206665039, 0.6792864203453064, -0.2629055976867676, -0.29088619351387024, -0.02112754061818123, -0.03441905602812767, 0.03397267684340477, 0.020388230681419373, 0.014364458620548248, -0.0009434740641154349, 0.028683723881840706, -0.019767139106988907, 0.0006009600474499166, 0.003915994428098202, 0.6135182976722717, 0.7733603119850159, -0.3865518867969513, -0.2852920889854431, -0.05378791317343712, -0.04005363956093788]","[1.7256531715393066, 0.7791112661361694, 0.6512749791145325, 0.01718142256140709, 1.6308947801589966, -0.5921146273612976, -0.6576647758483887, -0.510428249835968, 0.8926173448562622, -1.6327654123306274, -0.49259862303733826, -0.9458939433097839, 0.053548604249954224, -0.6414099335670471, -1.2816340923309326, 0.6678281426429749, 0.46483704447746277, 0.309941828250885, 0.1880023181438446, 0.22560450434684753, -0.6522270441055298, -0.003331452375277877, 0.19887056946754456, 1.8500688076019287, -0.2944304943084717, 3.878080129623413, -2.923551321029663, -0.37527668476104736, -1.3270021677017212]"
